Type	Item	Berkeley	Davis	Irvine	Los	Angeles	Merced	Riverside	San	Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books&Supplies	1,326	1,514	1,631	1,554	1,513	1,700	1,504	1,505	1,395	1,574
Commuter	Living	3,864	3,657	3,533	3,687	3,081	3,100	2,631	3,498	2,742	3,351
Commuter	Personal	1,596	1,610	1,795	1,977	1,610	1,800	1,594	1,530	1,920	1,758
Commuter	Transportation	1,870	1,971	1,988	1,860	1,993	2,000	1,965	1,905	1,545	1,944
Commuter	Healthcare	1,146	747	720	621	743	726	738	873	945	750
Commuter	Systemwide fees	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141
Commuter	Campus-based fees	513	1,435	653	381	512	449	547	869	876	641
Commuter	Total	16,456	17,075	16,461	16,221	15,593	15,916	15,120	16,321	15,564	16,159
On-Campus	Books&Supplies	1,326	1,514	1,631	1,554	1,513	1,700	1,504	1,505	1,395	1,509
On-Campus	Living	13,074	11,239	9,815	12,415	10,783	10,200	9,657	11,493	11,805	11,302
On-Campus	Personal	1,388	1,419	1,622	1,518	1,419	1,700	1,598	1,549	1,458	1,525
On-Campus	Transportation	684	748	1,276	764	1,372	1,300	1,097	1,042	870	957
On-Campus	Healthcare	1,146	747	720	621	743	726	738	873	945	809
On-Campus	Systemwide fees	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141
On-Campus	Campus-based fees	513	1,435	653	381	512	449	547	869	876	682
On-Campus	Total	24,272	23,243	21,858	23,394	22,483	22,216	21,282	23,472	23,490	22,925
Off-Campus	Books&Supplies	1,326	1,514	1,631	1,554	1,513	1,700	1,504	1,505	1,395	1,502
Off-Campus	Living	9,122	7,393	8,255	9,527	7,393	8,000	8,501	9,339	8,712	8,612
Off-Campus	Personal	1,606	1,544	1,826	1,765	1,544	2,000	1,665	1,766	1,500	1,689
Off-Campus	Transportation	1,160	1,506	2,086	1,529	2,013	2,000	1,925	1,483	1,563	1,612
Off-Campus	Healthcare	1,146	747	720	621	743	726	738	873	945	822
Off-Campus	Systemwide fees	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141
Off-Campus	Campus-based fees	513	1,435	653	381	512	449	547	869	876	738
Off-Campus	Total	21,014	20,280	21,312	21,518	19,859	21,016	21,021	21,976	21,132	21,116
All	Students	Books&Supplies	1,326	1,514	1,631	1,554	1,513	1,700	1,504	1,505	1,395	1,512
All	Students	Living	9,953	7,951	7,496	10,005	8,417	7,578	8,255	9,851	9,857	8,885
All	Students	Personal	1,547	1,522	1,767	1,697	1,498	1,864	1,636	1,692	1,497	1,646
All	Students	Transportation	1,063	1,376	1,856	1,286	1,747	1,786	1,663	1,357	1,258	1,447
All	Students	Healthcare	1,146	747	720	621	743	726	738	873	945	810
All	Students	Systemwide fees	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141	6,141
All	Students	Campus-based fees	513	1,435	653	381	512	449	547	869	876	711
All	Students	Total	21,689	20,687	20,263	21,684	20,571	20,244	20,484	22,287	21,969	21,152
