Type	Item	Berkeley	Davis	Irvine	Los Angeles	Merced	Riverside	San Diego	Santa Barbara	Santa Cruz	Systemwide 
Commuter	Books & supplies	1,226	1,620	1,583	1,536	1,405	1,802	1,489	1,444	1,420	1,504
Commuter	Living	4,470	4,470	4,470	4,470	4,470	4,470	4,470	4,470	4,470	4,470
Commuter	Personal	1,703	1,703	1,703	1,703	1,703	1,703	1,703	1,703	1,703	1,703
Commuter	Transportation	1,814	1,814	1,814	1,814	1,814	1,814	1,814	1,814	1,814	1,814
Commuter	Healthcare	2,014	1,764	1,359	1,530	1,701	1,044	1,450	2,414	1,857	1,435
Commuter	Systemwide fees	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192
Commuter	Campus-based fees	672	1,704	957	504	968	768	1,079	1,554	1,205	910
Commuter	Total	24,091	25,267	24,078	23,749	24,253	23,793	24,197	25,591	24,661	24,028 
On-Campus	Books & supplies	1,226	1,620	1,583	1,536	1,405	1,802	1,489	1,444	1,420	1,504
On-Campus	Living	15,482	13,961	12,073	14,453	14,717	13,509	11,978	14,115	14,408	13,788
On-Campus	Personal	1,128	1,251	1,366	1,396	1,611	1,736	1,407	1,479	1,380	1,400
On-Campus	Transportation	605	575	974	804	905	1,187	875	853	691	822
On-Campus	Healthcare	2,014	1,764	1,359	1,530	1,701	1,044	1,450	2,414	1,857	1,667
On-Campus	Systemwide fees	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192
On-Campus	Campus fees	672	1,704	957	504	968	768	1,079	1,554	1,205	993
On-Campus	Total	33,319	33,067	30,504	32,415	33,499	32,238	30,470	34,051	33,153	32,366
Off-Campus	Books & supplies	1,226	1,620	1,583	1,536	1,405	1,802	1,489	1,444	1,420	1,504
Off-Campus	Living	10,391	8,336	9,737	10,446	7,185	8,985	9,868	10,012	10,351	9,707
Off-Campus	Personal	1,440	1,416	1,723	1,662	1,537	1,808	1,623	1,543	1,486	1,560
Off-Campus	Transportation	924	1,396	1,997	1,428	1,743	1,796	1,774	1,239	1,380	1,439
Off-Campus	Healthcare	2,014	1,764	1,359	1,530	1,701	1,044	1,450	2,414	1,857	1,735
Off-Campus	Systemwide fees	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192
Off-Campus	Campus fees	672	1,704	957	504	968	768	1,079	1,554	1,205	1,078
Off-Campus	Total	28,859	28,428	29,548	29,298	26,731	28,395	29,475	30,398	29,891	29,215
All Students	Books & supplies	1,226	1,620	1,583	1,536	1,405	1,802	1,489	1,444	1,420	1,504
All Students	Living	11,251	9,195	9,097	11,616	10,757	9,286	10,242	11,160	12,159	10,496
All Students	Personal	1,382	1,400	1,634	1,551	1,587	1,758	1,548	1,527	1,440	1,523
All Students	Transportation	897	1,263	1,715	1,195	1,327	1,604	1,437	1,132	1,062	1,279
All Students	Healthcare	2,014	1,764	1,359	1,530	1,701	1,044	1,450	2,414	1,857	1,684
All Students	Systemwide fees	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192	12,192
All Students	Campus fees	672	1,704	957	504	968	768	1,079	1,554	1,205	1,035
All Students	Total	29,634	29,138	28,537	30,124	29,937	28,454	29,437	31,423	31,335	29,713 
