Type	Item	Berkeley	Davis	Irvine	Los Angeles	Merced	Riverside	San Diego	Santa Barbara	Santa Cruz	Systemwide
Commuter	Books & supplies $1,229 $1,560 $1,732 $1,598 $1,419 $1,672 $1,509 $1,391 $1,438 $1,511
Commuter	Living $4,643 $4,643 $4,643 $4,643 $4,643 $4,643 $4,643 $4,643 $4,643 $4,643
Commuter	Personal $2,011 $2,011 $2,011 $2,011 $2,011 $2,011 $2,011 $2,011 $2,011 $2,011
Commuter	Transportation $1,640 $1,640 $1,640 $1,640 $1,640 $1,640 $1,640 $1,640 $1,640 $1,640
Commuter	Total Non-fee $9,523 $9,854 $10,026 $9,892 $9,713 $9,966 $9,803 $9,685 $9,732 $9,805
Commuter	Healthcare $2,190 $1,854 $1,398 $1,938 $2,016 $1,392 $1,632 $2,569 $2,414 $1,648
Commuter	Subtotal $11,713 $11,708 $11,424 $11,830 $11,729 $11,358 $11,435 $12,254 $12,146 $11,453
Commuter	Fees $12,972 $13,896 $13,179 $12,705 $13,160 $13,407 $13,427 $13,865 $13,397 $13,279
Commuter	Systemwide fees $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192
Commuter	Campus-based fees $780 $1,704 $987 $513 $968 $1,215 $1,235 $1,673 $1,205 $1,087
Commuter	Total $24,685 $25,604 $24,603 $24,535 $24,889 $24,765 $24,862 $26,119 $25,543 $24,732
On-Campus	Books & supplies $1,229 $1,560 $1,732 $1,598 $1,419 $1,672 $1,509 $1,391 $1,438 $1,511
On-Campus	Living $15,830 $14,316 $12,638 $14,511 $15,035 $13,381 $12,254 $14,523 $14,730 $14,049
On-Campus	Personal $1,605 $1,520 $1,821 $1,633 $1,788 $1,924 $1,639 $1,681 $1,676 $1,684
On-Campus	Transportation $530 $613 $809 $593 $582 $863 $793 $724 $571 $677
On-Campus	Total Non-fee $19,194 $18,009 $17,000 $18,335 $18,824 $17,840 $16,195 $18,319 $18,415 $17,921
On-Campus	Healthcare $2,190 $1,854 $1,398 $1,938 $2,016 $1,392 $1,632 $2,569 $2,414 $1,933
On-Campus	Subtotal $21,384 $19,863 $18,398 $20,273 $20,840 $19,232 $17,827 $20,888 $20,829 $19,854
On-Campus	Fees $12,972 $13,896 $13,179 $12,705 $13,160 $13,407 $13,427 $13,865 $13,397 $13,280
On-Campus	Systemwide fees $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192
On-Campus	Campus fees $780 $1,704 $987 $513 $968 $1,215 $1,235 $1,673 $1,205 $1,088
On-Campus	Total $34,356 $33,759 $31,577 $32,978 $34,000 $32,639 $31,254 $34,753 $34,226 $33,134
Off-Campus	Books & supplies $1,229 $1,560 $1,732 $1,598 $1,419 $1,672 $1,509 $1,391 $1,438 $1,511
Off-Campus	Living $10,026 $8,201 $9,335 $10,138 $6,874 $8,577 $9,650 $9,368 $9,792 $9,307
Off-Campus	Personal $1,758 $1,928 $1,960 $1,820 $1,828 $1,953 $1,927 $1,876 $1,756 $1,866
Off-Campus	Transportation $725 $1,358 $1,652 $1,093 $1,419 $1,640 $1,590 $1,002 $1,260 $1,237
Off-Campus	Total Non-fee $13,738 $13,047 $14,679 $14,649 $11,540 $13,842 $14,676 $13,637 $14,246 $13,921
Off-Campus	Healthcare $2,190 $1,854 $1,398 $1,938 $2,016 $1,392 $1,632 $2,569 $2,414 $1,951
Off-Campus	Subtotal $15,928 $14,901 $16,077 $16,587 $13,556 $15,234 $16,308 $16,206 $16,660 $15,872
Off-Campus	Fees $12,972 $13,896 $13,179 $12,705 $13,160 $13,407 $13,427 $13,865 $13,397 $13,347
Off-Campus	Systemwide fees $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192
Off-Campus	Campus fees $780 $1,704 $987 $513 $968 $1,215 $1,235 $1,673 $1,205 $1,155
Off-Campus	Total $28,900 $28,797 $29,256 $29,292 $26,716 $28,641 $29,735 $30,071 $30,057 $29,219
All Students	Books & supplies $1,229 $1,560 $1,732 $1,598 $1,419 $1,672 $1,509 $1,391 $1,438 $1,511
All Students	Living $11,229 $9,080 $8,896 $11,541 $9,081 $9,381 $10,239 $10,998 $11,900 $10,363
All Students	Personal $1,730 $1,857 $1,940 $1,756 $1,834 $1,956 $1,820 $1,814 $1,728 $1,822
All Students	Transportation $709 $1,239 $1,449 $925 $1,192 $1,369 $1,278 $920 $954 $1,097
All Students	Total Non-fee $14,897 $13,736 $14,017 $15,820 $13,526 $14,378 $14,846 $15,123 $16,020 $14,793
All Students	Healthcare $2,190 $1,854 $1,398 $1,938 $2,016 $1,392 $1,632 $2,569 $2,414 $1,914
All Students	Subtotal $17,087 $15,590 $15,415 $17,758 $15,542 $15,770 $16,478 $17,692 $18,434 $16,707
All Students	Fees $12,972 $13,896 $13,179 $12,705 $13,160 $13,407 $13,427 $13,865 $13,397 $13,318
All Students	Systemwide fees $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192 $12,192
All Students	Campus fees $780 $1,704 $987 $513 $968 $1,215 $1,235 $1,673 $1,205 $1,126
All Students	Total $30,059 $29,486 $28,594 $30,463 $28,702 $29,177 $29,905 $31,557 $31,831 $30,025
